#WALL;X;Y;WALL_TOP;WALL_RIGHT;WALL_BOTTOM;WALL_LEFT
W;0;2;1;0;0;1
W;0;1;0;0;0;1
W;0;0;0;0;0;1
W;0;-1;0;0;0;1
W;0;-2;0;0;1;1
W;1;2;1;0;0;0
W;2;1;0;1;0;0
W;2;2;1;1;0;0
W;1;-2;0;0;1;0
W;2;-1;0;1;0;0
W;2;-2;0;1;1;0

W;3;0;1;0;1;0
W;4;0;1;0;1;0
W;5;0;1;0;1;0

W;6;1;1;0;0;1
W;6;-1;0;0;1;1
W;7;1;1;0;0;0
W;7;-1;0;0;1;0
W;8;1;1;0;0;0
W;8;-1;0;0;1;0
W;9;1;1;0;0;0
W;9;-1;0;0;1;0
W;10;1;1;1;0;0
W;10;-1;0;1;1;0

W;11;0;1;0;1;0
W;12;0;1;0;1;0
W;13;0;1;0;1;0

W;14;2;1;0;0;1
W;14;1;0;0;0;1
W;16;0;0;1;0;0
W;14;-1;0;0;0;1
W;14;-2;0;0;1;1
W;15;2;1;0;0;0
W;16;1;0;1;0;0
W;16;2;1;1;0;0
W;15;-2;0;0;1;0
W;16;-1;0;1;0;0
W;16;-2;0;1;1;0
