generation	value	name	measure	controller
317	  71.000	timeInside	min	Simple
317	 723.696	timeInside	avg	Simple
317	1133.000	timeInside	max	Simple
317	   0.000	timeFirstTotalOccup	min	Simple
317	 493.444	timeFirstTotalOccup	avg	Simple
317	 976.000	timeFirstTotalOccup	max	Simple
317	   1.000	numberDiffSpotsOccupied	min	Simple
317	   1.154	numberDiffSpotsOccupied	avg	Simple
317	   3.000	numberDiffSpotsOccupied	max	Simple
317	   0.000	reocupationTime	min	Simple
317	   0.000	reocupationTime	avg	Simple
317	   0.000	reocupationTime	max	Simple
392	 459.000	timeInside	min	Simple
392	 791.587	timeInside	avg	Simple
392	1194.000	timeInside	max	Simple
392	 209.000	timeFirstTotalOccup	min	Simple
392	 515.444	timeFirstTotalOccup	avg	Simple
392	 815.000	timeFirstTotalOccup	max	Simple
392	   1.000	numberDiffSpotsOccupied	min	Simple
392	   1.407	numberDiffSpotsOccupied	avg	Simple
392	   4.000	numberDiffSpotsOccupied	max	Simple
392	   0.000	reocupationTime	min	Simple
392	   0.000	reocupationTime	avg	Simple
392	   0.000	reocupationTime	max	Simple
364	 407.000	timeInside	min	Simple
364	 850.454	timeInside	avg	Simple
364	1237.000	timeInside	max	Simple
364	 181.000	timeFirstTotalOccup	min	Simple
364	 437.222	timeFirstTotalOccup	avg	Simple
364	 546.000	timeFirstTotalOccup	max	Simple
364	   1.000	numberDiffSpotsOccupied	min	Simple
364	   1.244	numberDiffSpotsOccupied	avg	Simple
364	   3.000	numberDiffSpotsOccupied	max	Simple
364	   0.000	reocupationTime	min	Simple
364	   0.000	reocupationTime	avg	Simple
364	   0.000	reocupationTime	max	Simple
395	 596.000	timeInside	min	Simple
395	 953.794	timeInside	avg	Simple
395	1214.000	timeInside	max	Simple
395	 227.000	timeFirstTotalOccup	min	Simple
395	 483.778	timeFirstTotalOccup	avg	Simple
395	1198.000	timeFirstTotalOccup	max	Simple
395	   1.000	numberDiffSpotsOccupied	min	Simple
395	   1.283	numberDiffSpotsOccupied	avg	Simple
395	   3.000	numberDiffSpotsOccupied	max	Simple
395	   0.000	reocupationTime	min	Simple
395	   0.000	reocupationTime	avg	Simple
395	   0.000	reocupationTime	max	Simple
387	 531.000	timeInside	min	Simple
387	 893.365	timeInside	avg	Simple
387	1232.000	timeInside	max	Simple
387	 194.000	timeFirstTotalOccup	min	Simple
387	 504.444	timeFirstTotalOccup	avg	Simple
387	 914.000	timeFirstTotalOccup	max	Simple
387	   1.000	numberDiffSpotsOccupied	min	Simple
387	   1.150	numberDiffSpotsOccupied	avg	Simple
387	   3.000	numberDiffSpotsOccupied	max	Simple
387	   0.000	reocupationTime	min	Simple
387	   0.000	reocupationTime	avg	Simple
387	   0.000	reocupationTime	max	Simple
354	 375.000	timeInside	min	Simple
354	 885.065	timeInside	avg	Simple
354	1278.000	timeInside	max	Simple
354	  95.000	timeFirstTotalOccup	min	Simple
354	 343.222	timeFirstTotalOccup	avg	Simple
354	 517.000	timeFirstTotalOccup	max	Simple
354	   1.000	numberDiffSpotsOccupied	min	Simple
354	   1.219	numberDiffSpotsOccupied	avg	Simple
354	   3.000	numberDiffSpotsOccupied	max	Simple
354	   0.000	reocupationTime	min	Simple
354	   0.000	reocupationTime	avg	Simple
354	   0.000	reocupationTime	max	Simple
253	 499.000	timeInside	min	Simple
253	 870.883	timeInside	avg	Simple
253	1165.000	timeInside	max	Simple
253	 295.000	timeFirstTotalOccup	min	Simple
253	 425.444	timeFirstTotalOccup	avg	Simple
253	 577.000	timeFirstTotalOccup	max	Simple
253	   1.000	numberDiffSpotsOccupied	min	Simple
253	   1.206	numberDiffSpotsOccupied	avg	Simple
253	   2.000	numberDiffSpotsOccupied	max	Simple
253	   0.000	reocupationTime	min	Simple
253	   0.000	reocupationTime	avg	Simple
253	   0.000	reocupationTime	max	Simple
373	 422.000	timeInside	min	Simple
373	 813.370	timeInside	avg	Simple
373	1477.000	timeInside	max	Simple
373	 168.000	timeFirstTotalOccup	min	Simple
373	 426.444	timeFirstTotalOccup	avg	Simple
373	 683.000	timeFirstTotalOccup	max	Simple
373	   1.000	numberDiffSpotsOccupied	min	Simple
373	   1.213	numberDiffSpotsOccupied	avg	Simple
373	   3.000	numberDiffSpotsOccupied	max	Simple
373	   0.000	reocupationTime	min	Simple
373	   0.000	reocupationTime	avg	Simple
373	   0.000	reocupationTime	max	Simple
358	 605.000	timeInside	min	Simple
358	 868.680	timeInside	avg	Simple
358	1161.000	timeInside	max	Simple
358	 203.000	timeFirstTotalOccup	min	Simple
358	 376.444	timeFirstTotalOccup	avg	Simple
358	 625.000	timeFirstTotalOccup	max	Simple
358	   1.000	numberDiffSpotsOccupied	min	Simple
358	   1.137	numberDiffSpotsOccupied	avg	Simple
358	   2.000	numberDiffSpotsOccupied	max	Simple
358	   0.000	reocupationTime	min	Simple
358	   0.000	reocupationTime	avg	Simple
358	   0.000	reocupationTime	max	Simple
379	 408.000	timeInside	min	Simple
379	 720.967	timeInside	avg	Simple
379	1004.000	timeInside	max	Simple
379	 377.000	timeFirstTotalOccup	min	Simple
379	 725.444	timeFirstTotalOccup	avg	Simple
379	1282.000	timeFirstTotalOccup	max	Simple
379	   1.000	numberDiffSpotsOccupied	min	Simple
379	   1.194	numberDiffSpotsOccupied	avg	Simple
379	   3.000	numberDiffSpotsOccupied	max	Simple
379	   0.000	reocupationTime	min	Simple
379	   0.000	reocupationTime	avg	Simple
379	   0.000	reocupationTime	max	Simple
233	 655.000	timeInside	min	Hybrid
233	 931.356	timeInside	avg	Hybrid
233	1120.000	timeInside	max	Hybrid
233	 302.000	timeFirstTotalOccup	min	Hybrid
233	 558.333	timeFirstTotalOccup	avg	Hybrid
233	 803.000	timeFirstTotalOccup	max	Hybrid
233	   1.000	numberDiffSpotsOccupied	min	Hybrid
233	   1.256	numberDiffSpotsOccupied	avg	Hybrid
233	   3.000	numberDiffSpotsOccupied	max	Hybrid
233	   0.000	reocupationTime	min	Hybrid
233	   0.000	reocupationTime	avg	Hybrid
233	   0.000	reocupationTime	max	Hybrid
244	 611.000	timeInside	min	Hybrid
244	 960.594	timeInside	avg	Hybrid
244	1160.000	timeInside	max	Hybrid
244	  97.000	timeFirstTotalOccup	min	Hybrid
244	 433.556	timeFirstTotalOccup	avg	Hybrid
244	 895.000	timeFirstTotalOccup	max	Hybrid
244	   1.000	numberDiffSpotsOccupied	min	Hybrid
244	   1.293	numberDiffSpotsOccupied	avg	Hybrid
244	   3.000	numberDiffSpotsOccupied	max	Hybrid
