generation	value	name	measure	controller
317	   6.000	timeInside	min	Simple
317	 645.698	timeInside	avg	Simple
317	1133.000	timeInside	max	Simple
317	   0.000	timeFirstTotalOccup	min	Simple
317	 463.667	timeFirstTotalOccup	avg	Simple
317	1029.000	timeFirstTotalOccup	max	Simple
317	   1.000	numberDiffSpotsOccupied	min	Simple
317	   1.220	numberDiffSpotsOccupied	avg	Simple
317	   3.000	numberDiffSpotsOccupied	max	Simple
317	   1.000	reocupationTime	min	Simple
317	  58.889	reocupationTime	avg	Simple
317	 488.000	reocupationTime	max	Simple
392	  78.000	timeInside	min	Simple
392	 664.181	timeInside	avg	Simple
392	1194.000	timeInside	max	Simple
392	 113.000	timeFirstTotalOccup	min	Simple
392	 449.444	timeFirstTotalOccup	avg	Simple
392	 815.000	timeFirstTotalOccup	max	Simple
392	   1.000	numberDiffSpotsOccupied	min	Simple
392	   1.303	numberDiffSpotsOccupied	avg	Simple
392	   4.000	numberDiffSpotsOccupied	max	Simple
392	   1.000	reocupationTime	min	Simple
392	  79.667	reocupationTime	avg	Simple
392	 254.000	reocupationTime	max	Simple
364	   1.000	timeInside	min	Simple
364	 727.218	timeInside	avg	Simple
364	1248.000	timeInside	max	Simple
364	 102.000	timeFirstTotalOccup	min	Simple
364	 425.167	timeFirstTotalOccup	avg	Simple
364	 832.000	timeFirstTotalOccup	max	Simple
364	   1.000	numberDiffSpotsOccupied	min	Simple
364	   1.345	numberDiffSpotsOccupied	avg	Simple
364	   4.000	numberDiffSpotsOccupied	max	Simple
364	   1.000	reocupationTime	min	Simple
364	 124.111	reocupationTime	avg	Simple
364	 505.000	reocupationTime	max	Simple
395	  35.000	timeInside	min	Simple
395	 835.544	timeInside	avg	Simple
395	1214.000	timeInside	max	Simple
395	 134.000	timeFirstTotalOccup	min	Simple
395	 421.111	timeFirstTotalOccup	avg	Simple
395	1198.000	timeFirstTotalOccup	max	Simple
395	   1.000	numberDiffSpotsOccupied	min	Simple
395	   1.265	numberDiffSpotsOccupied	avg	Simple
395	   3.000	numberDiffSpotsOccupied	max	Simple
395	   1.000	reocupationTime	min	Simple
395	 123.889	reocupationTime	avg	Simple
395	 472.000	reocupationTime	max	Simple
