generation	timeInside_min	timeInside_avg	timeInside_max	timeFirstTotalOccup_min	timeFirstTotalOccup_avg	timeFirstTotalOccup_max	numberDiffSpotsOccupied_min	numberDiffSpotsOccupied_avg	numberDiffSpotsOccupied_max	reocupationTime_min	reocupationTime_avg	reocupationTime_max	controller
317	  71.000	 723.696	1133.000	   0.000	 493.444	 976.000	   1.000	   1.154	   3.000	   0.000	   0.000	   0.000	Simple
392	 459.000	 791.587	1194.000	 209.000	 515.444	 815.000	   1.000	   1.407	   4.000	   0.000	   0.000	   0.000	Simple
364	 407.000	 850.454	1237.000	 181.000	 437.222	 546.000	   1.000	   1.244	   3.000	   0.000	   0.000	   0.000	Simple
395	 596.000	 953.794	1214.000	 227.000	 483.778	1198.000	   1.000	   1.283	   3.000	   0.000	   0.000	   0.000	Simple
387	 531.000	 893.365	1232.000	 194.000	 504.444	 914.000	   1.000	   1.150	   3.000	   0.000	   0.000	   0.000	Simple
354	 375.000	 885.065	1278.000	  95.000	 343.222	 517.000	   1.000	   1.219	   3.000	   0.000	   0.000	   0.000	Simple
253	 499.000	 870.883	1165.000	 295.000	 425.444	 577.000	   1.000	   1.206	   2.000	   0.000	   0.000	   0.000	Simple
373	 422.000	 813.370	1477.000	 168.000	 426.444	 683.000	   1.000	   1.213	   3.000	   0.000	   0.000	   0.000	Simple
358	 605.000	 868.680	1161.000	 203.000	 376.444	 625.000	   1.000	   1.137	   2.000	   0.000	   0.000	   0.000	Simple
379	 408.000	 720.967	1004.000	 377.000	 725.444	1282.000	   1.000	   1.194	   3.000	   0.000	   0.000	   0.000	Simple
233	 655.000	 931.356	1120.000	 302.000	 558.333	 803.000	   1.000	   1.256	   3.000	   0.000	   0.000	   0.000	Hybrid
244	 611.000	 960.594	1160.000	  97.000	 433.556	 895.000	   1.000	   1.293	   3.000	   0.000	   0.000	   0.000	Hybrid
231	 604.000	 923.759	1055.000	 279.000	 581.444	 896.000	   1.000	   1.144	   2.000	   0.000	   0.000	   0.000	Hybrid
240	 726.000	 938.031	1074.000	 198.000	 466.444	 625.000	   1.000	   1.152	   3.000	   0.000	   0.000	   0.000	Hybrid
198	 669.000	 922.530	1153.000	 240.000	 595.222	 795.000	   1.000	   1.194	   3.000	   0.000	   0.000	   0.000	Hybrid
180	 677.000	 936.785	1135.000	 265.000	 522.667	 851.000	   1.000	   1.150	   2.000	   0.000	   0.000	   0.000	Hybrid
248	 707.000	 959.948	1116.000	 124.000	 433.444	 585.000	   1.000	   1.224	   2.000	   0.000	   0.000	   0.000	Hybrid
193	 597.000	 932.381	1129.000	 445.000	 629.778	 895.000	   1.000	   1.311	   3.000	   0.000	   0.000	   0.000	Hybrid
95	 679.000	 909.341	1103.000	 239.000	 452.889	 738.000	   1.000	   1.131	   2.000	   0.000	   0.000	   0.000	Hybrid
243	 725.000	 953.830	1123.000	 184.000	 428.778	 723.000	   1.000	   1.096	   3.000	   0.000	   0.000	   0.000	Hybrid
