generation	timeInside_min	timeInside_avg	timeInside_max	timeFirstTotalOccup_min	timeFirstTotalOccup_avg	timeFirstTotalOccup_max	numberDiffSpotsOccupied_min	numberDiffSpotsOccupied_avg	numberDiffSpotsOccupied_max	reocupationTime_min	reocupationTime_avg	reocupationTime_max	controller
317	   6.000	 645.698	1133.000	   0.000	 463.667	1029.000	   1.000	   1.220	   3.000	   1.000	  58.889	 488.000	Simple
392	  78.000	 664.181	1194.000	 113.000	 449.444	 815.000	   1.000	   1.303	   4.000	   1.000	  79.667	 254.000	Simple
364	   1.000	 727.218	1248.000	 102.000	 425.167	 832.000	   1.000	   1.345	   4.000	   1.000	 124.111	 505.000	Simple
395	  35.000	 835.544	1214.000	 134.000	 421.111	1198.000	   1.000	   1.265	   3.000	   1.000	 123.889	 472.000	Simple
387	 105.000	 760.171	1260.000	 104.000	 429.278	 914.000	   1.000	   1.410	   4.000	   3.000	 168.222	 343.000	Simple
354	   2.000	 776.161	1448.000	  95.000	 344.278	 845.000	   1.000	   1.244	   3.000	   1.000	  61.778	 386.000	Simple
253	   0.000	 747.956	1165.000	 116.000	 345.278	 577.000	   0.000	   1.129	   2.000	   1.000	 119.333	 744.000	Simple
373	   2.000	 696.555	1477.000	  76.000	 372.778	 806.000	   1.000	   1.278	   4.000	   0.000	 175.333	 762.000	Simple
359	  14.000	 773.262	1334.000	  94.000	 362.722	 828.000	   1.000	   1.216	   3.000	   1.000	 114.222	 403.000	Simple
379	  65.000	 634.756	1035.000	  93.000	 529.389	1282.000	   1.000	   1.287	   4.000	   1.000	 149.222	 743.000	Simple
233	  16.000	 801.016	1120.000	 148.000	 438.000	 803.000	   1.000	   1.221	   3.000	   0.000	 104.556	 484.000	Hybrid
244	   0.000	 810.731	1160.000	  97.000	 354.667	 895.000	   0.000	   1.139	   3.000	   0.000	 152.444	 569.000	Hybrid
231	   0.000	 780.394	1063.000	 279.000	 542.889	 896.000	   0.000	   1.148	   3.000	   0.000	  84.444	 529.000	Hybrid
240	   0.000	 775.639	1074.000	 198.000	 497.222	1082.000	   0.000	   1.180	   3.000	   1.000	  54.444	 459.000	Hybrid
198	   2.000	 759.929	1153.000	 240.000	 516.222	 795.000	   1.000	   1.181	   3.000	   1.000	 284.778	1083.000	Hybrid
180	  30.000	 793.901	1135.000	 189.000	 519.722	1055.000	   1.000	   1.174	   3.000	   1.000	  93.889	 762.000	Hybrid
248	  30.000	 809.469	1116.000	 124.000	 366.556	 585.000	   1.000	   1.178	   2.000	   1.000	 123.778	 397.000	Hybrid
193	   0.000	 781.487	1129.000	 187.000	 616.278	1368.000	   0.000	   1.225	   3.000	   0.000	 102.222	 718.000	Hybrid
95	   0.000	 770.314	1103.000	 215.000	 447.889	1056.000	   0.000	   1.129	   2.000	   2.000	 119.333	 685.000	Hybrid
243	   5.000	 790.856	1152.000	 184.000	 447.722	 845.000	   1.000	   1.081	   3.000	   0.000	  85.333	 499.000	Hybrid
